client_id,date,consumption_kwh
C0000,2023-01-01,18.64
C0000,2023-01-02,16.63
C0000,2023-01-03,18.11
C0000,2023-01-04,18.25
C0000,2023-01-05,19.81
C0000,2023-01-06,15.87
C0000,2023-01-07,20.3
C0000,2023-01-08,19.35
C0000,2023-01-09,18.3
C0000,2023-01-10,13.34
C0000,2023-01-11,15.67
C0000,2023-01-12,19.08
C0000,2023-01-13,16.01
C0000,2023-01-14,13.25
C0000,2023-01-15,16.61
C0000,2023-01-16,16.64
C0000,2023-01-17,12.69
C0000,2023-01-18,15.2
C0000,2023-01-19,16.88
C0000,2023-01-20,15.34
C0000,2023-01-21,13.79
C0000,2023-01-22,14.19
C0000,2023-01-23,16.6
C0000,2023-01-24,18.07
C0000,2023-01-25,17.54
C0000,2023-01-26,16.93
C0000,2023-01-27,17.09
C0000,2023-01-28,16.44
C0000,2023-01-29,11.17
C0000,2023-01-30,10.49
C0000,2023-01-31,19.18
C0000,2023-02-01,17.11
C0000,2023-02-02,17.66
C0000,2023-02-03,21.07
C0000,2023-02-04,15.89
C0000,2023-02-05,16.61
C0000,2023-02-06,16.24
C0000,2023-02-07,16.57
C0000,2023-02-08,15.6
C0000,2023-02-09,16.99
C0000,2023-02-10,15.46
C0000,2023-02-11,14.85
C0000,2023-02-12,11.74
C0000,2023-02-13,16.97
C0000,2023-02-14,19.93
C0000,2023-02-15,19.74
C0000,2023-02-16,19.0
C0000,2023-02-17,16.58
C0000,2023-02-18,15.92
C0000,2023-02-19,15.26
C0000,2023-02-20,14.29
C0000,2023-02-21,17.8
C0000,2023-02-22,14.97
C0000,2023-02-23,18.7
C0000,2023-02-24,17.61
C0000,2023-02-25,19.58
C0000,2023-02-26,17.0
C0000,2023-02-27,18.93
C0000,2023-02-28,12.76
C0000,2023-03-01,16.14
C0000,2023-03-02,19.21
C0000,2023-03-03,17.89
C0000,2023-03-04,18.0
C0000,2023-03-05,14.51
C0000,2023-03-06,15.74
C0000,2023-03-07,11.63
C0000,2023-03-08,16.4
C0000,2023-03-09,18.54
C0000,2023-03-10,15.61
C0000,2023-03-11,13.79
C0000,2023-03-12,17.6
C0000,2023-03-13,18.04
C0000,2023-03-14,17.34
C0000,2023-03-15,17.3
C0000,2023-03-16,20.13
C0000,2023-03-17,16.98
C0000,2023-03-18,15.56
C0000,2023-03-19,14.53
C0000,2023-03-20,15.17
C0000,2023-03-21,17.25
C0000,2023-03-22,17.31
C0000,2023-03-23,12.38
C0000,2023-03-24,17.21
C0000,2023-03-25,15.07
C0000,2023-03-26,16.39
C0000,2023-03-27,18.59
C0000,2023-03-28,13.44
C0000,2023-03-29,14.9
C0000,2023-03-30,16.05
C0000,2023-03-31,15.87
C0000,2023-04-01,17.78
C0000,2023-04-02,15.62
C0000,2023-04-03,20.88
C0000,2023-04-04,18.9
C0000,2023-04-05,14.26
C0000,2023-04-06,16.51
C0000,2023-04-07,13.94
C0000,2023-04-08,14.13
C0000,2023-04-09,13.58
C0000,2023-04-10,17.31
C0000,2023-04-11,17.46
C0000,2023-04-12,18.67
C0000,2023-04-13,17.37
C0000,2023-04-14,19.14
C0000,2023-04-15,13.74
C0000,2023-04-16,15.64
C0000,2023-04-17,17.13
C0000,2023-04-18,16.29
C0000,2023-04-19,17.24
C0000,2023-04-20,18.07
C0000,2023-04-21,14.91
C0000,2023-04-22,14.87
C0000,2023-04-23,16.42
C0000,2023-04-24,17.2
C0000,2023-04-25,16.56
C0000,2023-04-26,16.26
C0000,2023-04-27,14.12
C0000,2023-04-28,17.06
C0000,2023-04-29,14.42
C0000,2023-04-30,16.52
C0000,2023-05-01,15.23
C0000,2023-05-02,12.28
C0000,2023-05-03,20.59
C0000,2023-05-04,18.61
C0000,2023-05-05,16.7
C0000,2023-05-06,16.66
C0000,2023-05-07,18.32
C0000,2023-05-08,15.96
C0000,2023-05-09,13.4
C0000,2023-05-10,13.8
C0000,2023-05-11,14.41
C0000,2023-05-12,17.86
C0000,2023-05-13,17.69
C0000,2023-05-14,13.49
C0000,2023-05-15,15.3
C0000,2023-05-16,12.75
C0000,2023-05-17,13.86
C0000,2023-05-18,20.48
C0000,2023-05-19,14.61
C0000,2023-05-20,14.65
C0000,2023-05-21,15.95
C0000,2023-05-22,16.35
C0000,2023-05-23,13.2
C0000,2023-05-24,17.84
C0000,2023-05-25,15.62
C0000,2023-05-26,14.17
C0000,2023-05-27,12.85
C0000,2023-05-28,12.81
C0000,2023-05-29,18.37
C0000,2023-05-30,17.99
C0000,2023-05-31,8.96
C0000,2023-06-01,13.89
C0000,2023-06-02,14.14
C0000,2023-06-03,18.74
C0000,2023-06-04,14.56
C0000,2023-06-05,15.84
C0000,2023-06-06,17.85
C0000,2023-06-07,16.88
C0000,2023-06-08,16.69
C0000,2023-06-09,13.07
C0000,2023-06-10,15.2
C0000,2023-06-11,16.53
C0000,2023-06-12,14.22
C0000,2023-06-13,15.31
C0000,2023-06-14,17.12
C0000,2023-06-15,16.97
C0000,2023-06-16,17.4
C0000,2023-06-17,19.32
C0000,2023-06-18,17.23
C0000,2023-06-19,17.72
C0000,2023-06-20,16.2
C0000,2023-06-21,14.54
C0000,2023-06-22,17.16
C0000,2023-06-23,15.17
C0000,2023-06-24,16.74
C0000,2023-06-25,17.09
C0000,2023-06-26,15.43
C0000,2023-06-27,21.07
C0000,2023-06-28,9.76
C0000,2023-06-29,18.01
C0001,2023-01-01,23.44
C0001,2023-01-02,14.8
C0001,2023-01-03,17.43
C0001,2023-01-04,23.11
C0001,2023-01-05,18.29
C0001,2023-01-06,18.99
C0001,2023-01-07,20.1
C0001,2023-01-08,15.16
C0001,2023-01-09,16.65
C0001,2023-01-10,19.89
C0001,2023-01-11,18.36
C0001,2023-01-12,19.08
C0001,2023-01-13,20.13
C0001,2023-01-14,16.8
C0001,2023-01-15,15.79
C0001,2023-01-16,20.11
C0001,2023-01-17,19.68
C0001,2023-01-18,21.37
C0001,2023-01-19,18.06
C0001,2023-01-20,13.04
C0001,2023-01-21,17.31
C0001,2023-01-22,14.94
C0001,2023-01-23,19.13
C0001,2023-01-24,16.84
C0001,2023-01-25,21.9
C0001,2023-01-26,16.67
C0001,2023-01-27,21.9
C0001,2023-01-28,16.96
C0001,2023-01-29,23.9
C0001,2023-01-30,18.96
C0001,2023-01-31,16.24
C0001,2023-02-01,20.24
C0001,2023-02-02,17.29
C0001,2023-02-03,18.93
C0001,2023-02-04,18.96
C0001,2023-02-05,25.32
C0001,2023-02-06,23.04
C0001,2023-02-07,20.91
C0001,2023-02-08,19.36
C0001,2023-02-09,13.33
C0001,2023-02-10,15.92
C0001,2023-02-11,17.19
C0001,2023-02-12,17.51
C0001,2023-02-13,16.99
C0001,2023-02-14,21.64
C0001,2023-02-15,20.8
C0001,2023-02-16,24.21
C0001,2023-02-17,18.32
C0001,2023-02-18,18.28
C0001,2023-02-19,22.53
C0001,2023-02-20,20.66
C0001,2023-02-21,20.28
C0001,2023-02-22,20.04
C0001,2023-02-23,16.69
C0001,2023-02-24,21.32
C0001,2023-02-25,14.28
C0001,2023-02-26,21.38
C0001,2023-02-27,20.9
C0001,2023-02-28,16.98
C0001,2023-03-01,18.54
C0001,2023-03-02,17.78
C0001,2023-03-03,20.09
C0001,2023-03-04,18.68
C0001,2023-03-05,21.75
C0001,2023-03-06,20.31
C0001,2023-03-07,20.27
C0001,2023-03-08,18.5
C0001,2023-03-09,23.56
C0001,2023-03-10,18.03
C0001,2023-03-11,20.4
C0001,2023-03-12,18.56
C0001,2023-03-13,17.12
C0001,2023-03-14,18.8
C0001,2023-03-15,15.83
C0001,2023-03-16,17.24
C0001,2023-03-17,17.46
C0001,2023-03-18,21.46
C0001,2023-03-19,21.88
C0001,2023-03-20,18.0
C0001,2023-03-21,20.26
C0001,2023-03-22,17.32
C0001,2023-03-23,22.3
C0001,2023-03-24,20.69
C0001,2023-03-25,17.54
C0001,2023-03-26,22.55
C0001,2023-03-27,20.07
C0001,2023-03-28,20.46
C0001,2023-03-29,20.69
C0001,2023-03-30,18.18
C0001,2023-03-31,18.01
C0001,2023-04-01,18.58
C0001,2023-04-02,15.17
C0001,2023-04-03,16.58
C0001,2023-04-04,18.48
C0001,2023-04-05,19.57
C0001,2023-04-06,13.11
C0001,2023-04-07,19.84
C0001,2023-04-08,24.77
C0001,2023-04-09,20.22
C0001,2023-04-10,23.82
C0001,2023-04-11,22.93
C0001,2023-04-12,23.11
C0001,2023-04-13,15.22
C0001,2023-04-14,21.29
C0001,2023-04-15,21.29
C0001,2023-04-16,21.8
C0001,2023-04-17,16.72
C0001,2023-04-18,19.33
C0001,2023-04-19,20.98
C0001,2023-04-20,17.94
C0001,2023-04-21,15.83
C0001,2023-04-22,16.32
C0001,2023-04-23,17.67
C0001,2023-04-24,17.05
C0001,2023-04-25,19.82
C0001,2023-04-26,20.29
C0001,2023-04-27,18.14
C0001,2023-04-28,15.51
C0001,2023-04-29,18.81
C0001,2023-04-30,21.47
C0001,2023-05-01,19.75
C0001,2023-05-02,12.61
C0001,2023-05-03,19.19
C0001,2023-05-04,19.01
C0001,2023-05-05,19.87
C0001,2023-05-06,16.66
C0001,2023-05-07,15.89
C0001,2023-05-08,22.03
C0001,2023-05-09,19.38
C0001,2023-05-10,19.97
C0001,2023-05-11,16.49
C0001,2023-05-12,17.57
C0001,2023-05-13,21.28
C0001,2023-05-14,19.34
C0001,2023-05-15,23.0
C0001,2023-05-16,19.12
C0001,2023-05-17,19.43
C0001,2023-05-18,21.23
C0001,2023-05-19,19.1
C0001,2023-05-20,20.04
C0001,2023-05-21,21.91
C0001,2023-05-22,17.21
C0001,2023-05-23,14.64
C0001,2023-05-24,21.1
C0001,2023-05-25,19.32
C0001,2023-05-26,16.55
C0001,2023-05-27,16.14
C0001,2023-05-28,15.58
C0001,2023-05-29,17.44
C0001,2023-05-30,16.19
C0001,2023-05-31,21.09
C0001,2023-06-01,22.42
C0001,2023-06-02,18.63
C0001,2023-06-03,18.51
C0001,2023-06-04,15.83
C0001,2023-06-05,15.89
C0001,2023-06-06,15.54
C0001,2023-06-07,22.51
C0001,2023-06-08,17.55
C0001,2023-06-09,17.67
C0001,2023-06-10,17.17
C0001,2023-06-11,21.8
C0001,2023-06-12,18.5
C0001,2023-06-13,17.44
C0001,2023-06-14,18.81
C0001,2023-06-15,16.84
C0001,2023-06-16,15.49
C0001,2023-06-17,18.71
C0001,2023-06-18,18.84
C0001,2023-06-19,21.12
C0001,2023-06-20,23.79
C0001,2023-06-21,20.52
C0001,2023-06-22,14.73
C0001,2023-06-23,19.58
C0001,2023-06-24,18.48
C0001,2023-06-25,18.4
C0001,2023-06-26,17.85
C0001,2023-06-27,20.47
C0001,2023-06-28,14.14
C0001,2023-06-29,19.03
C0002,2023-01-01,16.69
C0002,2023-01-02,17.94
C0002,2023-01-03,19.58
C0002,2023-01-04,26.14
C0002,2023-01-05,18.02
C0002,2023-01-06,23.0
C0002,2023-01-07,14.99
C0002,2023-01-08,18.56
C0002,2023-01-09,17.77
C0002,2023-01-10,21.13
C0002,2023-01-11,15.57
C0002,2023-01-12,21.65
C0002,2023-01-13,17.6
C0002,2023-01-14,18.17
C0002,2023-01-15,22.25
C0002,2023-01-16,19.65
C0002,2023-01-17,22.15
C0002,2023-01-18,17.26
C0002,2023-01-19,16.63
C0002,2023-01-20,20.85
C0002,2023-01-21,18.68
C0002,2023-01-22,18.53
C0002,2023-01-23,15.43
C0002,2023-01-24,18.11
C0002,2023-01-25,15.53
C0002,2023-01-26,17.18
C0002,2023-01-27,18.56
C0002,2023-01-28,15.46
C0002,2023-01-29,20.73
C0002,2023-01-30,21.06
C0002,2023-01-31,18.56
C0002,2023-02-01,16.52
C0002,2023-02-02,18.42
C0002,2023-02-03,19.35
C0002,2023-02-04,18.72
C0002,2023-02-05,18.9
C0002,2023-02-06,19.59
C0002,2023-02-07,17.92
C0002,2023-02-08,16.49
C0002,2023-02-09,20.52
C0002,2023-02-10,21.95
C0002,2023-02-11,21.39
C0002,2023-02-12,13.79
C0002,2023-02-13,19.86
C0002,2023-02-14,19.48
C0002,2023-02-15,15.14
C0002,2023-02-16,18.47
C0002,2023-02-17,16.16
C0002,2023-02-18,19.44
C0002,2023-02-19,24.2
C0002,2023-02-20,22.47
C0002,2023-02-21,18.22
C0002,2023-02-22,15.86
